eventnumber,index,sequencenumber,yokedsequencenumber,istarget,presentationnumber,stimnumber,stim,response,correct,rt,stimname,time_stimon,time_stimoff,stimdur
105,1162,0,5,0,105,24,stimuli_orig\Giraffe3_body.jpg,0,0,0,Giraffe3_body.jpg,82.01686272002826,82.11685316026433,0.09999044023606984
106,1163,0,5,0,106,3,stimuli_orig\Beaver1_body.jpg,0,0,0,Beaver1_body.jpg,82.21685122485178,82.31684840970684,0.09999718485505582
107,1164,0,5,0,107,34,stimuli_orig\Lynx1_body.jpg,0,0,0,Lynx1_body.jpg,82.41684618105,82.51684043346177,0.09999425241176141
108,1165,0,5,0,108,10,stimuli_orig\Cheeta1_face.jpg,0,0,0,Cheeta1_face.jpg,82.61684729537865,82.71684301401183,0.09999571863318124
109,1166,0,5,0,109,5,stimuli_orig\Bottle2.jpg,0,0,0,Bottle2.jpg,82.816840785355,82.91683386478962,0.09999307943462554
110,1167,0,5,0,110,30,stimuli_orig\Horse3_body.jpg,0,0,0,Horse3_body.jpg,83.01683310235467,83.11682999396498,0.0999968916103171
111,1168,0,5,0,111,12,stimuli_orig\Cow4_body.jpg,0,0,0,Cow4_body.jpg,83.21683011126288,83.31682436367464,0.09999425241176141
112,1169,0,5,0,112,40,stimuli_orig\Rabbit1_body.jpg,0,0,0,Rabbit1_body.jpg,83.41682154852924,83.51681873338384,0.09999718485460107
113,1170,0,5,0,113,18,stimuli_orig\Deer3_face.jpg,0,0,0,Deer3_face.jpg,83.6168194371703,83.71681368958207,0.09999425241176141
114,1171,0,5,0,114,49,stimuli_orig\Toothpaste1.jpg,0,0,0,Toothpaste1.jpg,83.81681468661282,83.91680923226886,0.09999454565604537
115,1172,0,5,0,115,9,stimuli_orig\Chandelier1.jpg,0,0,0,Chandelier1.jpg,84.01680905632202,84.11680330873378,0.09999425241176141
116,1173,0,5,0,116,50,stimuli_orig\Wolf1_body.jpg,0,0,0,Wolf1_body.jpg,84.2168028395431,84.31679943790914,0.09999659836603314
117,1174,0,5,0,117,26,stimuli_orig\Goat4_body.jpg,0,0,0,Goat4_body.jpg,84.41679984845132,84.51679615357307,0.09999630512174917
118,1175,0,5,0,118,29,stimuli_orig\Helmet1.jpg,0,0,0,Helmet1.jpg,84.61679421816098,84.71679228274843,0.09999806458745297
119,1176,0,5,1,119,53,stimuli_targets\blacksquare.jpg,0,0,0,blacksquare.jpg,84.81679093382445,84.91679046463378,0.09999953080932755
120,1177,0,5,0,120,16,stimuli_orig\Deer2_face.jpg,0,0,0,Deer2_face.jpg,85.01672900062931,85.11678160865586,0.10005260802654448
121,1178,0,5,0,121,22,stimuli_orig\Flower7.jpg,1,1,0,Flower7.jpg,85.2167826056866,85.31675691748615,0.09997431179954219
122,1179,0,5,0,122,31,stimuli_orig\Kangaroo1_face.jpg,0,0,0,Kangaroo1_face.jpg,85.41677756188483,85.51677298727373,0.09999542538889727
123,1180,0,5,0,123,23,stimuli_orig\Fox2_face.jpg,0,0,0,Fox2_face.jpg,85.61677222483831,85.71676823671623,0.09999601187791995
124,1181,0,5,0,124,13,stimuli_orig\Cucumber1.jpg,0,0,0,Cucumber1.jpg,85.81677421889981,85.91676407264686,0.09998985374704716
125,1182,0,5,0,125,2,stimuli_orig\Apple1.jpg,0,0,0,Apple1.jpg,86.01676477643332,86.11675932208937,0.09999454565604537
126,1183,0,5,0,126,17,stimuli_orig\Deer3_body.jpg,0,0,0,Deer3_body.jpg,86.21675826641012,86.31677275267839,0.10001448626826459
127,1184,0,5,0,127,47,stimuli_orig\Spinich1.jpg,0,0,0,Spinich1.jpg,86.41675644829547,86.51675158044009,0.09999513214461331
128,1185,0,5,0,128,36,stimuli_orig\Monkey3_face.jpg,0,0,0,Monkey3_face.jpg,86.61674935178326,86.71674301770645,0.09999366592319348
129,1186,0,5,0,129,21,stimuli_orig\Flower6.jpg,0,0,0,Flower6.jpg,86.81674518771433,86.9167411995918,0.09999601187746521
130,1187,0,5,0,130,8,stimuli_orig\Carrat1.jpg,0,0,0,Carrat1.jpg,87.01669996944383,87.11673674227859,0.10003677283475554
131,1188,0,5,0,131,48,stimuli_orig\Table2.jpg,0,0,0,Table2.jpg,87.21673422037748,87.31672905927826,0.09999483890078409
132,1189,0,5,0,132,11,stimuli_orig\Corn1.jpg,0,0,0,Corn1.jpg,87.41673240226282,87.51672841414074,0.09999601187791995
133,1190,0,5,0,133,45,stimuli_orig\Sheep2_body.jpg,0,0,0,Sheep2_body.jpg,87.61672677197248,87.71672718251466,0.10000041054217945
134,1191,0,5,0,134,38,stimuli_orig\Object2.jpg,0,0,0,Object2.jpg,87.81671674301742,87.9167189130253,0.10000217000788325
135,1192,0,5,0,135,1,stimuli_orig\Anchor2.jpg,0,0,0,Anchor2.jpg,88.01671873707892,88.11671064353641,0.09999190645748968
136,1193,0,5,0,136,44,stimuli_orig\Seashell1.jpg,0,0,0,Seashell1.jpg,88.21671369327714,88.31670384026847,0.09999014699133113
137,1194,0,5,0,137,37,stimuli_orig\Motorcycle3.jpg,0,0,0,Motorcycle3.jpg,88.41670601027636,88.51663516245435,0.09992915217799236
138,1195,0,5,0,138,35,stimuli_orig\Microscope2.jpg,0,0,0,Microscope2.jpg,88.61664290410363,88.71670636216959,0.10006345806596073
139,1196,0,5,0,139,41,stimuli_orig\Rabbit2_face.jpg,0,0,0,Rabbit2_face.jpg,88.81662818324003,88.91672771035428,0.10009952711425285
140,1197,0,5,0,140,52,stimuli_orig\Wrench1.jpg,0,0,0,Wrench1.jpg,89.01664923818043,89.11669334212274,0.10004410394230945
